Voti Fantacalcio 38ª giornata di campionato,,,,,,,,,,,,
Solo su www.fantacalcio.it i voti ufficiali per la tua lega,,,,,,,,,,,,
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET,,,,,,,,,,,,
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT,,,,,,,,,,,,
Atalanta,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
6935,A,Konate Is.,6*,0,0,0,0,0,0,0,0,0
2824,ALL,D'Aversa,5.5,0,0,0,0,0,0,1,0,0
Fiorentina,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
2521,P,De Gea,6,0,2,0,0,0,0,0,0,0
2160,D,Gosens,6.5,0,0,0,0,0,0,0,0,1
4378,D,Ranieri L.,6,0,0,0,0,0,0,0,0,0
4904,D,Mari',6,0,0,0,0,0,0,0,0,0
5603,D,Pongracic,6*,0,0,0,0,0,0,0,0,0
5885,D,Dodo',6,0,0,0,0,0,0,0,0,0
6495,D,Comuzzo,7,1,0,0,0,0,0,0,0,0
1933,C,Mandragora,6.5,0,0,0,0,0,0,0,0,0
4465,C,Fagioli,7,1,0,0,0,0,0,0,0,0
6294,C,Ndour,6*,0,0,0,0,0,0,0,0,0
6804,C,Richardson,6,0,0,0,0,0,0,0,0,1
2097,A,Kean,6.5,1,0,0,0,0,0,0,0,0
5800,A,Gudmundsson A.,6,0,0,0,0,0,0,0,0,0
6409,A,Beltran L.,5.5,0,0,0,0,0,0,1,0,0
1909,ALL,Palladino,7,0,0,0,0,0,0,0,0,0
Genoa,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
219,P,Sommariva,7,0,1,0,0,0,0,0,0,0
6991,P,Siegrist,6,0,0,0,0,0,0,0,0,0
791,D,Sabelli,6,0,0,0,0,0,0,0,0,0
2285,D,Bani,6.5,0,0,0,0,0,0,0,0,0
2593,D,Martin,6,0,0,0,0,0,0,0,0,1
5739,D,De Winter,6,0,0,0,0,0,0,0,0,0
6814,D,Norton-Cuffy,6,0,0,0,0,0,0,0,0,0
6977,D,Otoa,6,0,0,0,0,0,0,1,0,0
4677,C,Cornet,6*,0,0,0,0,0,0,0,0,0
4970,C,Messias,6.5,0,0,0,0,0,0,0,0,0
6538,C,Onana J.,6.5,0,0,0,0,0,0,1,0,0
6917,C,Masini,6.5,0,0,0,0,0,0,0,0,0
6980,C,Venturino,8,2,0,0,0,0,0,0,0,0
5506,A,Ekuban,6,0,0,0,0,0,0,0,0,0
6164,A,Vitinha O.,7.5,1,0,0,0,0,0,0,0,1
6822,A,Ekhator,6,0,0,0,0,0,0,0,0,0
6943,ALL,Vieira P.,7,0,0,0,0,0,0,0,0,0
Inter,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
2428,P,Sommer,6,0,0,0,0,0,0,0,0,0
254,D,Dimarco,6.5,0,0,0,0,0,0,0,0,0
322,D,De Vrij,7,1,0,0,0,0,0,1,0,0
513,D,Acerbi,6,0,0,0,0,0,0,0,0,0
2525,D,Darmian,6,0,0,0,0,0,0,0,0,0
